datetime	rov	divenum	sp	depth	temp	o2_ppt	sal_ppt	transmiss	lat	lon	timecode	pics	samplenum
2017-01-12 18:31:27	Ventana	3994	Hormiphora californensis	271.2399902	8.038999558	1.672000051	34.08499908	83.95999908	36.69938	-122.051623	01:15:59:25	http://search.mbari.org/ARCHIVE/frameGrabs/Ventana/images/3994/01_15_59_25.jpg	V3994-D7
2016-12-18 14:53:30	Doc Ricketts	919	Hormiphora californensis	215.1900024	8.166000366	1.876000047	34.05099869	81.88999939	36.399898	-122.650662	00:23:56:29	http://search.mbari.org/ARCHIVE/frameGrabs/Doc%20Ricketts/images/0919/00_23_56_29.jpg	D919-d11
2016-12-14 0:13:58	Doc Ricketts	914	red X cydippid	632.1400146	5.386000156	0.2169999927	34.31999969	81.70999908	36.695117	-122.089256	05:42:09:07	http://search.mbari.org/ARCHIVE/frameGrabs/Doc%20Ricketts/images/0914/05_42_09_07.jpg	D914-D5
2017-01-12 21:00:24	Ventana	3994	red X cydippid	871.3200073	4.460000038	0.3129999936	34.39400101	82.30999756	36.699256	-122.047668	03:43:49:15	http://search.mbari.org/ARCHIVE/frameGrabs/Ventana/images/3994/03_43_49_15.jpg	V3994-D3
2016-12-17 22:33:32	Doc Ricketts	918	vermilion lobate	1461.400024	2.838999987	0.8420000076	34.54600143		36.591633	-122.428615	07:49:41:05	http://search.mbari.org/ARCHIVE/frameGrabs/Doc%20Ricketts/images/0918/07_49_41_05.jpg	D918-D12
2016-10-20 18:19:43	Ventana	3976	vermilion lobate	977.789978	3.953999996	0.4629999995	34.43899918	81.16000366	36.699057	-122.050449	02:20:42:22	http://search.mbari.org/ARCHIVE/frameGrabs/Ventana/images/3976/02_20_42_22.jpg	V3976-ss2
2018-08-30 17:34:43	Ventana	4139	Bolinopsis infundibulum	1002.460022	3.877000093	0.5159999728	34.4620018	86.36000061	36.702131	-122.047438	None	http://search.mbari.org/ARCHIVE/framegrabs/Ventana/images/4139/20180830T173444Z-c5fddb8f-243d-4581-a46c-47237731ff5e.jpg	V4139-D5
2018-08-30 17:37:32	Ventana	4139	Bolinopsis infundibulum	999.2600098	3.894000053	0.5159999728	34.45999908	86.69000244	36.702104	-122.04732	None	http://search.mbari.org/ARCHIVE/framegrabs/Ventana/images/4139/20180830T173733Z-c5fddb8f-243d-4581-a46c-47237731ff5e.jpg	V4139-D7
2011-12-06 16:48:20	Doc Ricketts	329	Bathyctena chuni	2179.949951	1.883000016	1.883000016	34.63199997	87.91999817	36.332684	-122.900486	01:44:24:13	http://search.mbari.org/ARCHIVE/frameGrabs/Doc%20Ricketts/images/0329/01_44_24_13.jpg	D329-D1
2018-11-27 18:45:59	Ventana	4164	Bolinopsis infundibulum	996.789978	4	0.4519999921	34.4469986	86.30000305	36.702583	-122.049059	None	http://search.mbari.org/ARCHIVE/framegrabs/Ventana/images/4164/20181127T184559Z-ca99e98f-e3f7-4156-93bc-f16a4f939b7c.jpg	V4164-D1
2016-08-25 18:09:05	Ventana	3949	Bolinopsis infundibulum	883.5499878	4.31400013	0.3339999914	34.40000153	83.29000092	36.702382	-122.052218	01:57:48:20	http://search.mbari.org/ARCHIVE/frameGrabs/Ventana/images/3949/01_57_48_20.jpg	V3949-D5
2014-05-21 21:41:36	Doc Ricketts	614	Bolinopsis infundibulum	1456.619995	3.013000011	0.75	34.51399994	88.51999664	36.519854	-122.523739	03:38:33:16	http://search.mbari.org/ARCHIVE/frameGrabs/Doc%20Ricketts/images/0614/03_38_33_16.jpg	D614-D11
2013-04-24 19:49:22	Ventana	3710	Bolinopsis infundibulum	96.56999969	8.796999931	2.558000088	33.9980011	90.23999786	36.703655	-122.040429	00:13:00:14	http://search.mbari.org/ARCHIVE/frameGrabs/Ventana/images/3710/00_13_00_14.jpg	V3710-D1
2016-02-18 21:29:20	Ventana	3903	Bathocyroe fosteri	473.8099976	6.501999855	0.6840000153	34.19300079	85.72000122	36.702516	-122.061493	04:01:13:17	http://search.mbari.org/ARCHIVE/frameGrabs/Ventana/images/3903/04_01_13_17.jpg	V3903-D7
2013-04-24 18:26:18	Ventana	3709	Lampocteis cruentiventer	546.6699829	5.894000053	0.3050000072	34.27000046	91.37999725	36.698328	-122.049868	02:19:44:22	http://search.mbari.org/ARCHIVE/frameGrabs/Ventana/images/3709/02_19_44_22.jpg	V3709-SS4
2016-08-25 17:48:04	Ventana	3949	Lampocteis cruentiventer	708.0599976	5.002999783	0.2099999934	34.32400131	84.94999695	36.702337	-122.051702	01:36:48:28	http://search.mbari.org/ARCHIVE/frameGrabs/Ventana/images/3949/01_36_48_28.jpg	v3949-d4
2016-02-18 21:32:23	Ventana	3903	Lampocteis cruentiventer	473.7600098	6.502999783	0.6840000153	34.19300079	85.72000122	36.702338	-122.061594	04:04:15:27	http://search.mbari.org/ARCHIVE/frameGrabs/Ventana/images/3903/04_04_15_27.jpg	V3903-D8
2019-03-23 18:59:40	Doc Ricketts	1138	Bathocyroe fosteri	2313.439941	1.825999975	2.085999966	34.63000107	85.01999664	36.386173	-122.668785	None	http://search.mbari.org/ARCHIVE/framegrabs/Doc%20Ricketts/images/1138/20190323T185940Z--11152be2-bb8c-4a07-848a-246d6236b7b9.jpg	D1138-D10
