datetime	rov	divenum	sp	depth	temp	o2_ppt	sal_ppt	transmiss	lat	lon	timecode	pics	samplenum
2018-06-30			Mertensia ovum	65.0	5.72	6.98800719	32.20967143		55.361	-163.813		SEB1806307, DO WOD13_US 15639887B	SEB180630-1
2018-06-11			Beroe cucumis	1.0	-1.11	7.16512	35.044		79.35	20.76667		CTDO WOD13_SU Sta. 13509382B	SVA180611-2
2018-06-18			Beroe cucumis	4.5	1.11	7.16512	35.044		79.90952	14.23148		CTDO WOD13_SU Sta. 13509382B	SVA180618-1
2018-06-14			Beroe cucumis	6.0	0.56	7.16512	35.044		79.15	11.75		CTDO WOD13_SU Sta. 13509382B	SVA180614-1
2018-06-30			Beroe cucumis	47.0	6.18	8.20271894	31.8855		56.133	-161.852		SEB1806312, DO WOD13_US 15639885B	SEB180630-3
2018-06-23			Mertensia ovum	6.0	-3.33	8.3540821	33.516		70.48087	-20.05695		CTDO WOD13_SE Sta. 13547133	GRL180623-4
2018-06-30			Beroe cucumis	47.0	6.18	8.20271894	31.8855		56.133	-161.852		SEB1806312, DO WOD13_US 15639885B	SEB180630-4
2018-07-01			Beroe cucumis	47.0	6.16	8.16062386	31.822675		56.539	-160.869		SEB1806314, DO WOD13_US 15639884B	SEB180701-3
2018-07-01			Beroe cucumis	50.0	5.74	8.05762526	31.92455		56.426	-161.704		SEB1806316, DO WOD13_US 15639883B	SEB180701-4
2018-07-08			Bolinopsis infundibulum	3.0	5.00	7.3554435	34.5		64.65812	-13.7868		Djupivigor, ICL. CTDO WOD13_US sta. 15557659B	ICL180708-4
2018-06-14			Bolinopsis infundibulum?	6.0	0.56	7.16512	35.044		79.15	11.75		CTDO WOD13_SU Sta. 13509382B	SVA180614-1
2018-06-27			Bolinopsis infundibulum	3.0	5.00	6.6747571	34.5		65.49427	-23.59802		Vigur Isl., ICL. CTDO WOD13_SE Sta. 13547173B	ICL180627-1
2018-06-23			Mertensia ovum	6.0	-3.33	8.3540821	33.516		70.48087	-20.05695		CTDO WOD13_SE Sta. 13547133	GRL180623-5
2018-06-30			Mertensia ovum	55.0	5.42	7.52494337	32.0693		55.509	-163.44		SEB1806308, DO WOD13_US 15639886B	SEB180630-2
2018-06-23			Bolinopsis infundibulum	6.0	-3.33	8.3540821	33.516		70.48087	-20.05695		CTDO WOD13_SE Sta. 13547133	GRL180623-3
2018-07-08			Beroe cucumis	3.0	3.33	7.3554435	34.5		64.65812	-13.7868		Djupivigor, ICL. CTDO WOD13_US sta. 15557659B	ICL180708-2
2018-06-27			Bolinopsis infundibulum	3.0	5.00	6.6747571	34.5		65.49427	-23.59802		Vigur Isl., ICL. CTDO WOD13_SE Sta. 13547173B	ICL180627-5
2018-07-08			Bolinopsis infundibulum	3.0	3.33	7.3554435	34.5		64.65812	-13.7868		Djupivigor, ICL. CTDO WOD13_US sta. 15557659B	ICL180708-2
2018-07-01			Bolinopsis infundibulum	50.0	5.26	8.05762526	31.96026		56.349	-161.587		SEB1806317, DO WOD13_US 15639883B	SEB180701-5
