sid	eid	sp	tissue	depth_col	temp_col
V3994-D7	JWL0001	Horm_cali	whole	268.0	8.07
D914-T1	JWL0002	Horm_cali	whole	200.0	8.76
D919-D11	JWL0003	Horm_cali	whole	215.0	8.16
D914-BW1	JWL0004	Bero_cucu	whole	10.0	12.20
D914-BW1	JWL0005	Bero_cucu	whole	10.0	12.20
D914-D5	JWL0006	Cydi_redx	whole	630.0	5.39
V3994-D3	JWL0007	Cydi_redx	whole	870.0	4.46
D918-D12	JWL0008	Verm_loba	whole	696.0	4.97
V3976-SS2	JWL0009	Verm_loba	whole	981.0	3.95
D1021-BT Tjal 3	JWL0010	Tjal_pink	whole	3950.0	2.00
D1021-BT Tjal 5	JWL0011	Tjal_pink	whole	3950.0	2.00
SEB180630-1	JWL0012	Mert_ovum	whole	100.0	4.00
SEB180630-1	JWL0012B	Mert_ovum	whole	100.0	4.00
SVA180611-2	JWL0013	Bero_cucu	whole	1.0	-1.11
SVA180618-1	JWL0014	Bero_cucu	whole	4.5	1.11
SVA180614-1	JWL0015	Bero_cucu	whole	6.0	0.56
SEB180630-3	JWL0016	Bero_cucu	whole	100.0	4.00
GRL180623-4	JWL0017	Mert_ovum	whole	6.0	-3.33
SEB180630-4	JWL0018	Bero_cucu	whole	100.0	4.00
SEB180701-3	JWL0019	Bero_cucu	whole	100.0	4.00
SEB180701-4	JWL0020	Bero_cucu	whole	100.0	4.00
V4034-D1	JWL0021	Boli_infu	whole	376.0	6.97
V4034-D1	JWL0022	Boli_infu	whole	376.0	6.97
V4139-D5	JWL0023	Boli_infu	whole	1000.0	3.89
V4139-D5	JWL0024	Boli_infu	whole	1000.0	3.89
V4139-D7	JWL0025	Boli_infu	whole	1000.0	5.00
V4139-D7	JWL0026	Boli_infu	whole	1000.0	5.00
ICL180708-4	JWL0027	Boli_infu	whole	3.0	5.00
SVA180614-1	JWL0028	Boli_infu	whole	6.0	0.56
SVA180614-1	JWL0029	Boli_infu	whole	6.0	0.56
ICL180627-1	JWL0030	Boli_infu	whole	3.0	5.00
GRL180623-5	JWL0031	Mert_ovum	whole	6.0	-3.33
GRL180623-5	JWL0032	Mert_ovum	whole	6.0	-3.33
SEB180630-2	JWL0033	Mert_ovum	whole	100.0	4.00
GRL180623-3	JWL0034	Boli_infu	whole	6.0	-3.33
GRL180623-3	JWL0035	Boli_infu	whole	6.0	-3.33
ICL180708-2	JWL0036	Bero_cucu	whole	3.0	3.33
ICL180627-5	JWL0037	Boli_infu	whole	3.0	5.00
ICL180708-4	JWL0038	Boli_infu	whole	3.0	5.00
ICL180708-2	JWL0039	Boli_infu	whole	3.0	3.33
KM18T2-3	JWL0040	Bath_fost	whole	2500.0	3.00
