sid	eid	sp	tissue
V3994-D7	JWL0001	Horm_cali	whole
D914-T1	JWL0002	Horm_cali	whole
D919-D11	JWL0003	Horm_cali	whole
D914-BW1	JWL0004	Bero_cucu	whole
D914-BW1	JWL0005	Bero_cucu	whole
D914-D5	JWL0006	Cydi_redx	whole
V3994-D3	JWL0007	Cydi_redx	whole
D918-D12	JWL0008	Verm_loba	whole
V3976-SS2	JWL0009	Verm_loba	whole
D1021-BT	JWL0010	Tjal_pink	whole
D1021-BT	JWL0011	Tjal_pink	whole
SEB180630-1	JWL0012	Mert_ovum	whole
SEB180630-1	JWL0012B	Mert_ovum	whole
SVA180611-2	JWL0013	Bero_arct	whole
SVA180618-1	JWL0014	Bero_arct	whole
SVA180614-1	JWL0015	Bero_arct	whole
SEB180630-3	JWL0016	Bero_arct	whole
GRL180623-4	JWL0017	Mert_ovum	whole
SEB180630-4	JWL0018	Bero_arct	whole
SEB180701-3	JWL0019	Bero_arct	whole
SEB180701-4	JWL0020	Bero_arct	whole
V4034-D1	JWL0021	Boli_infu	whole
V4034-D1	JWL0022	Boli_infu	whole
V4139-D5	JWL0023	Boli_infu	whole
V4139-D5	JWL0024	Boli_infu	whole
V4139-D7	JWL0025	Boli_infu	whole
V4139-D7	JWL0026	Boli_infu	whole
ICL180708-4	JWL0027	Boli_arct	whole
SVA180614-1	JWL0028	Boli_arct	whole
SVA180614-1	JWL0029	Boli_arct	whole
ICL180627-1	JWL0030	Boli_arct	whole
GRL180623-5	JWL0031	Mert_ovum	whole
GRL180623-5	JWL0032	Mert_ovum	whole
SEB180630-2	JWL0033	Mert_ovum	whole
GRL180623-3	JWL0034	Boli_arct	whole
GRL180623-3	JWL0035	Boli_arct	whole
ICL180708-2	JWL0036	Bero_arct	whole
ICL180627-5	JWL0037	Boli_arct	whole
ICL180708-4	JWL0038	Boli_arct	whole
ICL180708-2	JWL0039	Boli_arct	whole
KM18T2-3	JWL0040	Bath_hawa	whole
KM18T2-4	JWL0041	Bath_hawa	whole
M118-BW18	JWL0042	Boli_vitr	whole
M118-BW18	JWL0042B	Boli_vitr	whole
M118-BW31	JWL0043	Boli_vitr	whole
M119-BW7	JWL0044	Boli_vitr	whole
KMT18T4-11/12	JWL0045	Bero_fors	whole
D860-BW	JWL0046	Bero_fors	whole
20170806-BW	JWL0047	Bero_cucu	whole
M119-MS3	JWL0048	Bero_fivs	whole
D860-BW	JWL0049	Bero_fors	whole
D329-D1	JWL0050	Bath_chun	whole
KM18T6-6	JWL0051	Bero_fors	whole
M120-BW38	JWL0052	Bero_ovat	whole
M126-BW8	JWL0053	Bero_ovat	whole
V4164-D1	JWL0054	Boli_infu	whole
V3949-D5	JWL0055	Boli_infu	whole
D959-BW11	JWL0056	Boli_infu	whole
D614-D11	JWL0057	Boli_infu	whole
V3710-D1	JWL0058	Boli_infu	whole
V4034-D4	JWL0059	Boli_infu	whole
V3903-D7	JWL0060	Bath_fost	whole
V3709-SS4	JWL0061	Lamp_crue	whole
V3949-D4	JWL0062	Lamp_crue	whole
V468-D9	JWL0063	Lamp_crue	whole
V3903-D8	JWL0064	Lamp_crue	whole
D1138-D10	JWL0065	Bath_fost	whole
V4139-SS3	JWL0066	Bath_fost	whole
D919-D5	JWL0067	Bath_fost	whole
M123-MS7	JWL0068	Bath_fost	whole
V3930-SS7	JWL0069	Lamp_crue	whole
D960-SS7	JWL0070	Tjal_pink	whole
20170608-BW	JWL0071	Bero_cucu	whole
M126-MS1	JWL0072	Bath_fost	whole
D960-SS10	JWL0073	Tjal_pink	whole
V3756-D3	JWL0074	Bath_fost	whole
V4139-D3	JWL0075	Cydi_redx	whole
M121-MS1	JWL0076	Eur_vexi	whole
M123-MS6	JWL0077	Bath_hawa	whole
MBA20181208-1	JWL0078	Aure_labi	whole
MBA20181208-3	JWL0079	Aure_labi	whole
20190326-BW2	JWL0080	Bero_fors	whole
D1138-BW14	JWL0081	Bero_fors	whole
D1137-BW1	JWL0082	Bero_cucu	whole
MBA20181208-6	JWL0083	Holm_cost	whole
MBA20181208-7	JWL0084	Holm_cost	whole
MBA20190425	JWL0085	Leuc_pulc	whole
MBA20190425-1	JWL0086	Leuc_pulc	whole
MBA20190425-3	JWL0087	Leuc_pulc	whole
M118-BW19	JWL0088	Boli_vitr	whole
M119-BW23	JWL0089	Boli_vitr	whole
D960-BW	JWL0090	Bero_cucu	whole
D499-D8	JWL0091	Cydi_redx	whole
V4163-SS10	JWL0092	Cydi_redx	whole
MBA20190425-7	JWL0093	Leuc_pulc	whole
MBA20190425-6	JWL0094	Leuc_pulc	whole
MBA20190425-5	JWL0095	Leuc_pulc	whole
D1167-D3	JWL0096	Bent_cten	whole
M126-BW2	JWL0097	Boli_vitr	whole
D1165-D10	JWL0098	Tjal_whit	whole
D1021-BT	JWL0099	Tjal_pink	whole
D1021-BT	JWL0100	Tjal_pink	whole
V4233-SS7	JWL0101	Bero_cucu	whole
ANT20180224-1	JWL0102	Cali_anta	whole
D329-D1	JWL0103	Bath_chun	whole
MBA20181208-5	JWL0104	Aure_labi	whole
MBA20181208-3	JWL0105	Aure_labi	whole
V4233-SS6	JWL0106	Horm_cali	whole
D960-SS7	JWL0107	Tjal_pink	whole
