sample	reads
CTE_Aulacoctena_acuminata1	41228060
CTE_Bathocyroe_fosteri1	41121996
CTE_Bathyctena_chuni1	30058144
CTE_Bathyctena_chuni2	26939432
CTE_Benthic_cteno1	32111420
CTE_Beroe_abyssicola1	45650264
CTE_Beroe_abyssicola2	26048576
CTE_Beroe_cucumis1	100949528
CTE_Beroe_forskalii1	32428160
CTE_Beroe_forskalii3	39015460
CTE_Beroe_ovata1	104653048
CTE_Beroe_ovata2	26677660
CTE_Bolinopsis_ashleyi1	30068228
CTE_Bolinopsis_infundibulum1	36242344
CTE_Bolinopsis_infundibulum2	58901824
CTE_Bolinopsis_infundibulum3	23708096
CTE_Bolinopsis_vitrea1	56529540
CTE_Cestum_veneris1	35622176
CTE_Charistephane_fugiens1	32840764
CTE_Coeloplana_astericola1	23026420
CTE_Coeloplana_cfmeteoris1	105994720
CTE_Ctenoceros_clear1	41508628
CTE_Ctenoceros_clear2	50524140
CTE_Cydippid_spblack1	22039180
CTE_Cydippid_sppeach1	37953560
CTE_Cydippid_spredx1	25669232
CTE_Deiopea_kaloktenota1	27938768
CTE_Dryodora_glandiformis1	59701304
CTE_Dryodora_glandiformis2	21069860
CTE_Euplokamis_dunlapae1	28355860
CTE_Euplokamis_dunlapae2	32605892
CTE_Eurhamphaea_vexilligera1	64324696
CTE_Eurhamphaea_vexilligera2	27208088
CTE_Haeckelia_beehleri1	30401872
CTE_Haeckelia_rubra1	45234372
CTE_Hormiphora_californensis1	48931768
CTE_Hormiphora_californensis2	130325016
CTE_Hormiphora_palmata1	44471212
CTE_Kiyohimea_usagi1	35780836
CTE_Lampea_deep1	36818184
CTE_Lampea_lactea1	39532864
CTE_Lampea_lactea2	56548908
CTE_Lampea_pancerina2	37885960
CTE_Lampea_sp1	42200736
CTE_Lampocteis_cruentiventer1	37654632
CTE_Leucothea_pulchra1	38550632
CTE_Llyria_spbenthic1	32223604
CTE_Llyria_spcopper1	27250696
CTE_Llyria_spdeep1	51656160
CTE_Mertensia_ovum1	489618356
CTE_Mertensiidae_sp1	25586544
CTE_Nepheloctena_red1	48065760
CTE_Nepheloctena_red2	51144216
CTE_Nepheloctena_white1	40321312
CTE_Ocyropsis_crystallina1	90636716
CTE_Ocyropsis_crystallina2	56101996
CTE_Ocyropsis_crystallina3	41863620
CTE_Ocyropsis_maculata1	30621360
CTE_Pleurobrachia_bachei1	53005908
CTE_Pleurobrachia_pileus1	29180420
CTE_Pleurobrachia_sp1	23182704
CTE_Pleurobrachia_sp2	19008596
CTE_Pukia_falcata1	32860432
CTE_Tetraphalia_sp1	36376352
CTE_Thalassocalyce_inconstans1	39944652
CTE_Tjalfiella_pink1	185341848
CTE_Vallicula_multiformis1	50700456
CTE_Vallicula_multiformis2	25241464
CTE_Vampyroctena_delmarvensis1	55089212
CTE_Velamen_parallelum1	35147008
CTE_Vermillion_lobate1	40477984
CTE_Weird_cteno1	28791224
