OG0000000	sp|C0HL66|H33A_DROME Histone H3.3A OS=Drosophila melanogaster OX=7227 GN=His3.3A PE=1 SV=1
OG0000001	sp|Q95SX7|RTBS_DROME Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster OX=7227 GN=RTase PE=2 SV=1
OG0000002	sp|Q8C9B9|DIDO1_MOUSE Death-inducer obliterator 1 OS=Mus musculus OX=10090 GN=Dido1 PE=1 SV=4
OG0000003	sp|P10925|ZFY1_MOUSE Zinc finger Y-chromosomal protein 1 OS=Mus musculus OX=10090 GN=Zfy1 PE=2 SV=3
OG0000004	sp|Q9NBX4|RTXE_DROME Probable RNA-directed DNA polymerase from transposon X-element OS=Drosophila melanogaster OX=7227 GN=X-element\ORF2 PE=3 SV=1
OG0000005	sp|Q95SX7|RTBS_DROME Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster OX=7227 GN=RTase PE=2 SV=1
OG0000006	sp|Q28178|TSP1_BOVIN Thrombospondin-1 OS=Bos taurus OX=9913 GN=THBS1 PE=2 SV=2
OG0000007	sp|P46023|GR101_LYMST G-protein coupled receptor GRL101 OS=Lymnaea stagnalis OX=6523 PE=2 SV=1
OG0000008	sp|P32249|GP183_HUMAN G-protein coupled receptor 183 OS=Homo sapiens OX=9606 GN=GPR183 PE=1 SV=3
OG0000009	sp|Q95SX7|RTBS_DROME Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster OX=7227 GN=RTase PE=2 SV=1
OG0000010	sp|Q95SX7|RTBS_DROME Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster OX=7227 GN=RTase PE=2 SV=1
OG0000011	sp|Q9UGM3|DMBT1_HUMAN Deleted in malignant brain tumors 1 protein OS=Homo sapiens OX=9606 GN=DMBT1 PE=1 SV=2
OG0000013	sp|Q58DM4|ALKB2_BOVIN DNA repair protein alkB homolog 8 OS=Xenopus tropicalis OX=8364 GN=alkbh8 PE=2 SV=1
